payment_id,order_id,payment_date,payment_method,payment_status
68,68,2022-06-30,Wallet,Failed
69,69,2022-12-18,Card,Success
70,70,2024-06-06,COD,Failed
71,71,2023-09-08,Card,Failed
72,72,2024-11-09,Card,Success
73,73,2024-11-06,UPI,Success
74,74,2024-08-21,COD,Failed
75,75,2024-10-05,UPI,Success
76,76,2023-12-18,UPI,Success
77,77,2024-06-27,COD,Success
78,78,2023-02-05,COD,Pending
79,79,2024-12-15,NetBanking,Success
80,80,2022-10-03,NetBanking,Success
81,81,2024-02-01,UPI,Success
82,82,2024-08-27,COD,Success
83,83,2023-10-27,UPI,Success
84,84,2023-10-22,COD,Success
85,85,2023-11-08,UPI,Success
86,86,2022-10-08,UPI,Success
87,87,2023-01-18,UPI,Success
88,88,2023-05-14,Card,Success
89,89,2022-04-10,Card,Success
90,90,2023-04-07,UPI,Success
91,91,2022-03-01,UPI,Success
92,92,2023-09-25,UPI,Success
93,93,2022-01-26,UPI,Success
94,94,2022-12-12,UPI,Success
95,95,2023-10-24,Card,Success
96,96,2022-12-12,Card,Success
97,97,2022-12-05,Card,Success
98,98,2024-03-01,COD,Success
99,99,2024-12-25,UPI,Success
100,100,2024-05-03,Card,Success
101,101,2024-10-04,UPI,Success
102,102,2022-02-14,Wallet,Success
103,103,2023-09-11,COD,Success
104,104,2024-01-08,COD,Success
105,105,2024-06-02,Card,Failed
106,106,2023-06-12,Card,Success
107,107,2024-11-02,Card,Success
108,108,2023-08-15,Card,Success
109,109,2022-02-03,UPI,Pending
110,110,2023-11-10,Card,Success
111,111,2022-01-26,UPI,Success
112,112,2024-09-27,Card,Pending
113,113,2022-07-07,COD,Success
114,114,2022-10-28,Card,Success
115,115,2023-11-28,UPI,Success
116,116,2024-11-04,COD,Failed
117,117,2022-10-09,COD,Success
118,118,2024-10-31,Card,Success
119,119,2023-12-26,Card,Success
120,120,2022-03-31,COD,Success
121,121,2023-12-04,Card,Success
122,122,2023-10-12,NetBanking,Success
123,123,2023-04-28,Wallet,Success
124,124,2022-01-30,Wallet,Success
125,125,2022-12-23,UPI,Success
126,126,2023-05-09,UPI,Success
127,127,2024-01-17,UPI,Success
128,128,2024-10-21,Card,Failed
129,129,2023-12-21,Card,Success
130,130,2022-11-24,UPI,Success
131,131,2024-11-10,UPI,Failed
132,132,2024-04-16,Card,Success
133,133,2023-06-16,Wallet,Success
134,134,2024-10-22,NetBanking,Success
135,135,2024-05-02,Card,Success
136,136,2023-07-11,Wallet,Success
137,137,2022-01-16,COD,Success
138,138,2023-09-29,UPI,Success
139,139,2022-04-10,UPI,Success
140,140,2024-11-21,UPI,Success
141,141,2022-08-01,UPI,Success
142,142,2023-11-01,Card,Success
143,143,2024-08-20,Wallet,Success
144,144,2024-03-31,Card,Success
145,145,2022-06-09,Wallet,Success
146,146,2022-08-31,Card,Success
147,147,2022-04-11,Card,Success
148,148,2023-11-02,Card,Success
149,149,2023-07-31,COD,Success
150,150,2022-07-15,NetBanking,Success
151,151,2024-11-13,UPI,Success
152,152,2022-07-29,NetBanking,Success
153,153,2023-12-08,Card,Success
154,154,2024-02-06,Card,Success
155,155,2023-01-01,Wallet,Success
156,156,2023-11-29,COD,Pending
157,157,2023-04-01,Wallet,Success
158,158,2022-12-26,Card,Success
159,159,2024-12-24,COD,Success
160,160,2023-06-24,UPI,Success
161,161,2023-03-16,UPI,Success
162,162,2023-09-22,NetBanking,Success
163,163,2022-04-26,UPI,Success
164,164,2023-08-10,Card,Success
165,165,2022-11-12,UPI,Success
166,166,2024-02-09,Card,Success
167,167,2022-09-20,Wallet,Success
168,168,2022-09-03,UPI,Pending
169,169,2024-06-06,COD,Success
170,170,2024-08-09,NetBanking,Success
171,171,2022-09-03,UPI,Success
172,172,2022-05-19,UPI,Success
173,173,2024-06-18,UPI,Success
174,174,2022-01-19,Card,Success
175,175,2023-04-22,NetBanking,Success
176,176,2022-12-04,UPI,Failed
177,177,2023-12-31,Card,Success
178,178,2024-05-06,Wallet,Failed
179,179,2023-04-14,UPI,Success
180,180,2023-08-28,UPI,Success
181,181,2022-04-30,COD,Failed
182,182,2022-02-04,NetBanking,Success
183,183,2022-09-08,NetBanking,Success
184,184,2023-10-27,Card,Success
185,185,2023-10-26,UPI,Success
186,186,2023-11-26,UPI,Success
187,187,2023-08-24,UPI,Success
188,188,2023-02-08,Card,Success
189,189,2023-07-31,NetBanking,Success
190,190,2024-11-27,UPI,Success
191,191,2022-06-16,COD,Success
192,192,2024-11-30,UPI,Success
193,193,2022-03-03,UPI,Failed
194,194,2022-06-21,COD,Success
195,195,2022-06-20,UPI,Success
196,196,2023-04-29,UPI,Success
197,197,2023-11-20,Wallet,Success
198,198,2023-11-02,UPI,Success
199,199,2024-07-26,COD,Success
200,200,2024-11-11,Card,Success
201,201,2022-09-10,Wallet,Success
202,202,2024-02-05,COD,Pending
203,203,2024-08-30,NetBanking,Success
204,204,2023-01-18,Wallet,Success
205,205,2023-01-21,COD,Success
206,206,2022-07-17,NetBanking,Success
207,207,2023-05-25,NetBanking,Success
208,208,2023-01-31,Wallet,Success
209,209,2022-09-02,UPI,Success
210,210,2023-05-24,UPI,Success
211,211,2023-10-29,Wallet,Success
212,212,2022-11-17,Card,Success
213,213,2023-11-09,COD,Failed
214,214,2024-02-17,COD,Success
215,215,2022-01-03,UPI,Success
216,216,2024-11-28,Wallet,Success
217,217,2024-03-29,COD,Success
218,218,2022-08-11,COD,Success
219,219,2024-10-24,UPI,Success
220,220,2022-05-23,Card,Success
221,221,2024-05-26,UPI,Success
222,222,2024-05-02,UPI,Success
223,223,2023-04-13,UPI,Failed
224,224,2022-04-26,Card,Success
225,225,2024-04-07,NetBanking,Success
226,226,2022-08-21,UPI,Success
227,227,2022-08-25,UPI,Success
228,228,2024-11-08,UPI,Success
229,229,2023-06-25,Card,Success
230,230,2022-06-25,COD,Success
231,231,2022-02-23,Wallet,Success
232,232,2022-11-28,UPI,Success
233,233,2024-06-18,UPI,Success
234,234,2023-07-31,UPI,Success
235,235,2023-01-06,Card,Success
236,236,2023-12-04,Wallet,Success
237,237,2022-10-15,Card,Success
238,238,2024-11-06,UPI,Success
239,239,2024-08-27,Card,Success
240,240,2024-08-31,Card,Pending
241,241,2024-12-28,COD,Success
242,242,2023-05-10,NetBanking,Success
243,243,2022-05-06,COD,Failed
244,244,2022-09-18,COD,Success
245,245,2024-10-15,UPI,Success
246,246,2024-12-10,NetBanking,Success
247,247,2024-10-21,COD,Success
248,248,2023-08-09,UPI,Success
249,249,2024-07-13,NetBanking,Success
250,250,2024-12-02,Card,Success
251,251,2023-06-11,Card,Success
252,252,2024-10-12,UPI,Failed
253,253,2024-10-21,Card,Success
254,254,2023-10-30,Card,Success
255,255,2024-01-22,UPI,Success
256,256,2022-07-06,UPI,Failed
257,257,2022-03-31,Wallet,Success
258,258,2024-12-11,NetBanking,Success
259,259,2022-08-04,Card,Success
260,260,2023-12-24,UPI,Success
261,261,2023-03-20,Card,Success
262,262,2022-05-24,UPI,Failed
263,263,2022-09-15,Wallet,Success
264,264,2024-04-03,UPI,Failed
265,265,2024-10-13,Card,Success
266,266,2024-11-03,NetBanking,Success
267,267,2022-11-13,Card,Success
268,268,2024-07-03,Wallet,Success
269,269,2022-12-01,UPI,Pending
270,270,2023-01-20,Card,Success
271,271,2022-10-26,UPI,Success
272,272,2024-01-04,UPI,Failed
273,273,2024-09-17,UPI,Success
274,274,2024-11-07,Card,Success
275,275,2022-03-10,COD,Success
276,276,2023-05-06,UPI,Success
277,277,2023-12-26,COD,Success
278,278,2023-12-11,COD,Success
279,279,2022-03-29,UPI,Failed
280,280,2022-04-17,UPI,Success
281,281,2023-06-10,Wallet,Success
282,282,2022-10-03,UPI,Success
283,283,2022-07-20,UPI,Success
284,284,2024-12-03,UPI,Success
285,285,2023-08-14,COD,Pending
286,286,2024-01-03,UPI,Success
287,287,2024-08-22,COD,Success
288,288,2022-09-16,Card,Pending
289,289,2022-01-08,UPI,Success
290,290,2024-09-28,Card,Success
291,291,2023-10-06,Card,Success
292,292,2024-11-01,Card,Success
293,293,2022-06-20,UPI,Success
294,294,2023-12-12,Card,Failed
295,295,2022-11-09,UPI,Failed
296,296,2024-12-30,UPI,Success
297,297,2024-03-31,COD,Success
298,298,2022-11-04,Wallet,Success
299,299,2023-12-27,Wallet,Success
300,300,2023-10-11,UPI,Success
301,301,2024-04-29,COD,Success
302,302,2024-06-29,UPI,Success
303,303,2024-09-13,UPI,Success
304,304,2022-11-18,UPI,Success
305,305,2024-10-02,Card,Success
306,306,2022-08-11,Card,Success
307,307,2022-10-22,Card,Success
308,308,2023-08-23,Card,Success
309,309,2022-12-11,UPI,Success
310,310,2024-11-01,UPI,Success
311,311,2023-05-17,UPI,Failed
312,312,2022-10-23,Wallet,Success
313,313,2022-11-11,Wallet,Failed
314,314,2024-11-24,UPI,Success
315,315,2023-12-09,COD,Success
316,316,2022-12-22,COD,Success
317,317,2024-11-11,Card,Success
318,318,2022-11-24,UPI,Success
319,319,2024-09-21,COD,Success
320,320,2024-11-01,UPI,Pending
321,321,2023-01-08,COD,Success
322,322,2022-07-13,UPI,Pending
323,323,2024-01-02,UPI,Success
324,324,2023-11-26,NetBanking,Success
325,325,2022-11-02,UPI,Success
326,326,2022-06-14,Card,Success
327,327,2022-05-24,COD,Success
328,328,2024-06-04,UPI,Success
329,329,2023-03-29,COD,Success
330,330,2023-12-19,Card,Success
331,331,2022-02-07,UPI,Success
332,332,2022-11-24,UPI,Success
333,333,2024-02-21,UPI,Success
334,334,2022-03-28,UPI,Success
335,335,2023-04-28,UPI,Success
336,336,2024-05-22,COD,Success
337,337,2023-10-01,NetBanking,Pending
338,338,2023-07-21,Card,Success
339,339,2023-08-18,NetBanking,Success
340,340,2024-10-02,Card,Success
341,341,2023-05-18,UPI,Success
342,342,2024-10-18,UPI,Success
343,343,2022-03-08,COD,Success
344,344,2024-11-26,UPI,Success
345,345,2022-11-06,COD,Success
346,346,2024-06-27,UPI,Failed
347,347,2022-10-08,UPI,Success
348,348,2022-05-09,Card,Success
349,349,2023-02-03,UPI,Success
350,350,2024-08-22,UPI,Success
351,351,2024-03-29,COD,Failed
352,352,2022-01-27,UPI,Success
353,353,2023-08-22,UPI,Success
354,354,2024-07-07,COD,Success
355,355,2022-01-23,UPI,Success
356,356,2023-12-28,UPI,Success
357,357,2022-04-14,UPI,Success
358,358,2024-03-24,UPI,Success
359,359,2023-10-19,COD,Pending
360,360,2022-06-02,UPI,Success
361,361,2022-12-15,COD,Success
362,362,2023-06-21,UPI,Success
363,363,2022-08-10,NetBanking,Failed
364,364,2024-12-24,Card,Success
365,365,2023-10-25,UPI,Success
366,366,2022-11-15,UPI,Success
367,367,2023-11-30,Wallet,Success
368,368,2022-05-13,NetBanking,Success
369,369,2024-07-25,UPI,Success
370,370,2022-11-23,UPI,Success
371,371,2023-02-13,Wallet,Success
372,372,2022-12-01,UPI,Success
373,373,2023-05-15,COD,Success
374,374,2024-01-08,Card,Failed
375,375,2024-04-19,NetBanking,Failed
376,376,2024-11-08,UPI,Success
377,377,2023-06-03,COD,Failed
378,378,2024-12-15,UPI,Success
379,379,2024-08-19,Wallet,Success
380,380,2024-07-16,Card,Success
381,381,2024-05-13,Card,Success
382,382,2023-09-27,NetBanking,Success
383,383,2023-02-01,UPI,Success
384,384,2024-09-27,Card,Pending
385,385,2024-09-05,NetBanking,Success
386,386,2024-11-12,UPI,Success
387,387,2023-09-06,COD,Failed
388,388,2022-11-21,Wallet,Success
389,389,2024-07-21,UPI,Failed
390,390,2022-12-05,Wallet,Success
391,391,2024-10-11,UPI,Failed
392,392,2024-04-01,UPI,Pending
393,393,2024-12-10,UPI,Failed
394,394,2022-06-20,Card,Success
395,395,2022-12-20,NetBanking,Success
396,396,2024-12-26,COD,Success
397,397,2023-03-15,UPI,Success
398,398,2024-08-06,NetBanking,Success
399,399,2023-11-13,Wallet,Success
400,400,2024-10-23,Card,Success
401,401,2022-07-25,Card,Success
402,402,2022-10-12,UPI,Pending
403,403,2024-10-26,Card,Success
404,404,2022-04-29,UPI,Success
405,405,2023-11-28,UPI,Success
406,406,2022-05-13,UPI,Success
407,407,2022-10-27,Card,Failed
408,408,2022-01-18,NetBanking,Success
409,409,2023-02-07,Card,Success
410,410,2022-10-07,Wallet,Success
411,411,2023-11-25,COD,Success
412,412,2023-07-21,UPI,Failed
413,413,2022-12-14,UPI,Success
414,414,2022-05-10,Card,Success
415,415,2024-07-24,Card,Success
416,416,2023-04-13,UPI,Success
417,417,2022-10-26,Card,Success
418,418,2024-10-24,UPI,Success
419,419,2022-04-27,Wallet,Failed
420,420,2023-02-20,UPI,Success
421,421,2024-10-17,UPI,Failed
422,422,2024-05-09,UPI,Success
423,423,2022-07-30,COD,Success
424,424,2022-11-25,UPI,Success
425,425,2024-11-19,Card,Success
426,426,2024-09-05,Wallet,Success
427,427,2023-04-14,Card,Success
428,428,2024-10-09,UPI,Success
429,429,2024-03-12,Card,Success
430,430,2024-09-17,NetBanking,Success
431,431,2023-11-29,Card,Failed
432,432,2024-11-05,Card,Success
433,433,2023-11-18,UPI,Success
434,434,2022-03-16,Card,Success
435,435,2024-06-05,Wallet,Success
436,436,2022-10-15,COD,Success
437,437,2024-11-17,NetBanking,Success
438,438,2023-02-04,COD,Success
439,439,2023-04-30,UPI,Success
440,440,2023-06-15,COD,Success
441,441,2024-07-02,NetBanking,Success
442,442,2023-11-26,NetBanking,Success
443,443,2022-11-30,COD,Success
444,444,2022-10-17,Card,Success
445,445,2022-10-11,COD,Success
446,446,2023-10-02,UPI,Success
447,447,2023-11-04,Card,Success
448,448,2024-07-02,NetBanking,Success
449,449,2022-12-14,COD,Success
450,450,2023-09-23,Card,Success
451,451,2022-10-27,Card,Success
452,452,2023-11-20,Wallet,Success
453,453,2022-12-17,Wallet,Success
454,454,2023-12-10,Card,Success
455,455,2023-01-24,Card,Success
456,456,2023-12-27,NetBanking,Failed
457,457,2023-01-20,COD,Success
458,458,2024-02-15,UPI,Success
459,459,2022-12-24,UPI,Success
460,460,2022-12-17,NetBanking,Success
461,461,2022-10-24,Card,Success
462,462,2022-11-12,COD,Success
463,463,2023-05-27,Card,Success
464,464,2023-04-28,COD,Success
465,465,2023-12-16,UPI,Success
466,466,2024-07-15,COD,Pending
467,467,2022-03-24,UPI,Pending
468,468,2023-04-05,UPI,Success
469,469,2023-05-30,UPI,Success
470,470,2022-07-15,Wallet,Failed
471,471,2023-07-14,COD,Success
472,472,2024-07-16,COD,Success
473,473,2022-03-23,UPI,Success
474,474,2024-11-07,UPI,Failed
475,475,2024-11-16,UPI,Success
476,476,2023-03-12,Wallet,Success
477,477,2024-08-05,UPI,Success
478,478,2022-05-04,COD,Success
479,479,2022-11-08,Card,Success
480,480,2022-10-28,Card,Failed
481,481,2023-02-27,COD,Success
482,482,2022-07-15,COD,Success
483,483,2023-08-16,Card,Success
484,484,2023-06-19,Card,Failed
485,485,2024-10-09,Card,Success
486,486,2023-03-11,COD,Success
487,487,2024-11-08,COD,Success
488,488,2024-01-23,Card,Success
489,489,2022-11-30,COD,Success
490,490,2023-11-20,UPI,Success
491,491,2022-08-07,NetBanking,Success
492,492,2022-10-02,UPI,Success
493,493,2022-12-07,Card,Success
494,494,2022-06-14,COD,Success
495,495,2023-04-07,Wallet,Success
496,496,2024-04-11,Card,Success
497,497,2024-12-24,NetBanking,Success
498,498,2024-10-23,UPI,Success
499,499,2022-11-16,UPI,Success
500,500,2022-10-26,Card,Success
501,501,2024-10-05,COD,Success
502,502,2022-05-06,Card,Success
503,503,2024-07-27,UPI,Success
504,504,2024-12-01,Card,Failed
505,505,2022-03-27,Wallet,Success
506,506,2022-12-23,Card,Success
507,507,2022-11-14,Card,Success
508,508,2024-10-22,UPI,Success
509,509,2024-10-08,Card,Success
510,510,2022-01-28,UPI,Success
511,511,2024-11-16,COD,Success
512,512,2024-04-29,UPI,Success
513,513,2024-04-01,UPI,Success
514,514,2023-11-17,Card,Success
515,515,2022-10-20,COD,Success
516,516,2023-08-22,Wallet,Success
517,517,2024-08-29,UPI,Success
518,518,2022-11-02,NetBanking,Success
519,519,2023-12-30,UPI,Success
520,520,2023-12-15,Card,Pending
521,521,2022-12-09,Wallet,Success
522,522,2023-03-25,UPI,Success
523,523,2023-03-09,Card,Success
524,524,2024-02-11,UPI,Success
525,525,2022-03-13,NetBanking,Success
526,526,2024-07-22,COD,Success
527,527,2022-11-05,COD,Success
528,528,2022-09-13,COD,Success
529,529,2024-12-30,UPI,Success
530,530,2022-10-26,UPI,Pending
531,531,2024-12-28,Wallet,Success
532,532,2022-03-03,UPI,Failed
533,533,2022-01-10,UPI,Success
534,534,2022-11-05,UPI,Success
535,535,2024-07-01,UPI,Success
536,536,2023-12-08,Card,Success
537,537,2023-12-06,Card,Success
538,538,2022-08-26,COD,Success
539,539,2022-09-12,UPI,Success
540,540,2023-12-10,UPI,Success
541,541,2022-06-17,NetBanking,Failed
542,542,2022-09-17,COD,Success
543,543,2024-10-17,Card,Success
544,544,2023-12-05,COD,Pending
545,545,2023-12-04,COD,Success
546,546,2023-08-26,NetBanking,Pending
547,547,2024-05-12,UPI,Success
548,548,2022-10-16,UPI,Success
549,549,2024-01-09,UPI,Success
550,550,2023-10-24,Card,Success
551,551,2024-02-18,Wallet,Success
552,552,2022-06-01,Card,Success
553,553,2022-10-22,Card,Success
554,554,2023-02-22,NetBanking,Success
555,555,2024-11-08,UPI,Success
556,556,2022-01-13,Wallet,Success
557,557,2023-12-17,UPI,Success
558,558,2022-11-22,COD,Success
559,559,2024-08-20,Wallet,Success
560,560,2023-08-30,COD,Success
561,561,2024-04-12,COD,Success
562,562,2023-08-21,UPI,Success
563,563,2022-12-11,UPI,Success
564,564,2024-12-31,NetBanking,Success
565,565,2022-10-11,NetBanking,Success
566,566,2022-06-06,Card,Pending
567,567,2024-06-16,COD,Success
568,568,2022-04-06,UPI,Success
569,569,2023-12-21,UPI,Success
570,570,2022-07-29,Wallet,Success
571,571,2022-10-23,Card,Success
572,572,2023-04-17,Wallet,Success
573,573,2022-05-17,Card,Success
574,574,2023-12-27,Card,Success
575,575,2024-04-01,UPI,Success
576,576,2022-07-06,Card,Success
577,577,2022-08-02,UPI,Success
578,578,2022-06-06,Card,Success
579,579,2022-06-03,Card,Success
580,580,2022-07-02,COD,Failed
581,581,2023-07-19,Card,Success
582,582,2024-04-01,COD,Success
583,583,2023-09-07,UPI,Success
584,584,2024-08-12,Card,Success
585,585,2023-10-20,Wallet,Success
586,586,2024-12-01,UPI,Success
587,587,2024-04-07,UPI,Success
588,588,2022-10-19,COD,Success
589,589,2024-02-03,UPI,Success
590,590,2022-11-10,Card,Success
591,591,2023-04-22,UPI,Failed
592,592,2022-09-14,Wallet,Failed
593,593,2024-02-22,UPI,Success
594,594,2024-12-06,NetBanking,Failed
595,595,2023-12-19,Card,Success
596,596,2024-04-22,Card,Success
597,597,2022-11-03,UPI,Pending
598,598,2024-04-14,UPI,Success
599,599,2023-06-18,UPI,Success
600,600,2022-10-27,NetBanking,Pending
601,601,2022-12-11,NetBanking,Success
602,602,2023-06-21,COD,Success
603,603,2024-04-19,UPI,Success
604,604,2022-10-23,UPI,Success
605,605,2023-06-10,Wallet,Success
606,606,2022-02-25,Wallet,Success
607,607,2024-10-18,COD,Success
608,608,2022-01-28,COD,Success
609,609,2024-09-18,UPI,Pending
610,610,2024-02-06,Card,Success
611,611,2024-04-16,COD,Success
612,612,2024-06-05,UPI,Success
613,613,2022-10-18,Card,Success
614,614,2023-05-27,Card,Pending
615,615,2024-10-25,COD,Success
616,616,2024-02-28,COD,Success
617,617,2023-08-27,NetBanking,Success
618,618,2023-09-17,UPI,Success
619,619,2022-10-23,NetBanking,Success
620,620,2024-10-13,Wallet,Success
621,621,2022-10-14,Card,Success
622,622,2024-12-09,Card,Success
623,623,2022-06-22,UPI,Pending
624,624,2022-11-01,COD,Success
625,625,2023-12-06,COD,Success
626,626,2022-02-21,Wallet,Success
627,627,2023-04-19,UPI,Success
628,628,2022-07-12,COD,Success
629,629,2024-10-22,UPI,Success
630,630,2023-03-02,UPI,Success
631,631,2024-12-15,COD,Success
632,632,2022-08-18,Wallet,Success
633,633,2023-10-07,UPI,Success
634,634,2024-11-26,COD,Success
635,635,2024-11-18,UPI,Success
636,636,2022-01-24,UPI,Success
637,637,2022-04-25,NetBanking,Success
638,638,2022-11-30,COD,Success
639,639,2024-06-24,COD,Success
640,640,2023-11-02,UPI,Failed
641,641,2023-01-09,UPI,Success
642,642,2022-08-17,UPI,Success
643,643,2024-12-07,UPI,Success
644,644,2024-11-16,Card,Success
645,645,2023-01-16,Card,Success
646,646,2022-12-30,Card,Success
647,647,2024-07-22,COD,Success
648,648,2023-10-13,Wallet,Failed
649,649,2023-10-08,Wallet,Success
650,650,2024-06-20,UPI,Failed
651,651,2022-01-02,Wallet,Success
652,652,2023-06-29,Wallet,Success
653,653,2024-10-03,UPI,Success
654,654,2023-12-18,UPI,Success
655,655,2023-08-20,UPI,Success
656,656,2022-11-25,COD,Success
657,657,2022-11-04,Card,Success
658,658,2022-08-01,UPI,Success
659,659,2023-07-01,Card,Success
660,660,2022-05-14,UPI,Success
661,661,2023-10-29,Wallet,Success
662,662,2024-11-19,NetBanking,Success
663,663,2024-08-31,Card,Success
664,664,2022-09-03,UPI,Success
665,665,2022-10-16,UPI,Success
666,666,2023-11-19,UPI,Success
667,667,2023-10-31,UPI,Success
668,668,2023-01-18,Wallet,Failed
669,669,2022-07-15,COD,Success
670,670,2024-10-22,UPI,Failed
671,671,2024-11-22,NetBanking,Success
672,672,2024-11-09,COD,Failed
673,673,2024-10-29,UPI,Success
674,674,2023-03-19,UPI,Failed
675,675,2022-10-19,COD,Success
676,676,2022-11-30,Card,Success
677,677,2022-12-10,UPI,Failed
678,678,2024-08-01,Wallet,Success
679,679,2022-04-21,Card,Success
680,680,2022-06-12,UPI,Success
681,681,2023-08-24,Wallet,Success
682,682,2024-02-19,COD,Success
683,683,2023-11-09,UPI,Success
684,684,2022-10-26,Card,Pending
685,685,2023-11-07,COD,Success
686,686,2024-09-20,UPI,Success
687,687,2023-11-05,Card,Failed
688,688,2022-04-22,UPI,Success
689,689,2023-07-06,COD,Failed
690,690,2022-01-12,COD,Success
691,691,2024-08-02,Wallet,Success
692,692,2023-10-26,COD,Success
693,693,2022-08-08,NetBanking,Success
694,694,2023-11-03,Wallet,Success
695,695,2022-05-27,UPI,Success
696,696,2022-03-17,Card,Success
697,697,2023-11-25,Card,Success
698,698,2023-11-07,COD,Failed
699,699,2023-09-22,Wallet,Success
700,700,2024-02-05,Wallet,Success
701,701,2023-08-14,UPI,Success
702,702,2023-02-20,COD,Success
703,703,2022-04-09,COD,Success
704,704,2024-10-05,Card,Success
705,705,2024-08-20,Card,Failed
706,706,2022-12-01,Card,Success
707,707,2023-11-24,UPI,Success
708,708,2022-10-24,NetBanking,Success
709,709,2024-04-17,Card,Success
710,710,2024-05-05,Card,Success
711,711,2024-05-31,Card,Success
712,712,2022-11-22,Card,Success
713,713,2024-05-25,UPI,Success
714,714,2024-09-29,UPI,Success
715,715,2024-08-21,NetBanking,Success
716,716,2023-11-15,Wallet,Success
717,717,2023-05-17,Card,Success
718,718,2024-04-23,NetBanking,Pending
719,719,2022-05-18,COD,Success
720,720,2023-09-19,Card,Success
721,721,2022-10-04,UPI,Success
722,722,2022-05-07,COD,Success
723,723,2022-08-12,COD,Success
724,724,2022-11-04,COD,Success
725,725,2022-11-13,COD,Failed
726,726,2022-10-01,UPI,Success
727,727,2024-10-26,UPI,Success
728,728,2024-01-12,UPI,Success
729,729,2023-02-16,COD,Failed
730,730,2024-04-10,Wallet,Success
731,731,2023-07-04,Card,Failed
732,732,2024-12-05,Card,Success
733,733,2022-09-20,COD,Success
734,734,2024-08-19,Wallet,Success
735,735,2024-01-22,UPI,Success
736,736,2024-12-20,NetBanking,Success
737,737,2023-07-03,COD,Success
738,738,2024-11-22,UPI,Failed
739,739,2023-06-08,Wallet,Failed
740,740,2023-12-29,UPI,Success
741,741,2023-04-22,NetBanking,Success
742,742,2022-06-03,Wallet,Success
743,743,2024-10-14,COD,Success
744,744,2022-10-14,NetBanking,Success
745,745,2023-07-29,Card,Success
746,746,2023-01-16,COD,Failed
747,747,2023-10-10,NetBanking,Success
748,748,2023-01-09,UPI,Success
749,749,2022-11-29,Card,Success
750,750,2024-10-10,Card,Success
751,751,2023-01-18,Card,Success
752,752,2024-10-30,UPI,Failed
753,753,2022-11-28,Card,Success
754,754,2024-12-22,NetBanking,Success
755,755,2022-08-27,COD,Success
756,756,2022-11-11,COD,Success
757,757,2024-07-19,Wallet,Success
758,758,2022-08-25,UPI,Failed
759,759,2022-12-31,Card,Success
760,760,2023-06-04,Card,Success
761,761,2022-12-18,UPI,Success
762,762,2022-01-20,Card,Failed
763,763,2022-01-10,UPI,Success
764,764,2023-04-20,Wallet,Success
765,765,2022-02-26,UPI,Success
766,766,2022-12-28,UPI,Success
767,767,2024-12-07,COD,Success
768,768,2023-07-30,UPI,Success
769,769,2023-12-24,COD,Success
770,770,2024-04-06,Wallet,Success
771,771,2023-09-14,COD,Success
772,772,2022-07-07,COD,Success
773,773,2022-12-23,UPI,Success
774,774,2022-09-02,Card,Success
